"Родительская задача","Название","Описание","Чек-лист"
"MVP-3. Воронка взыскания ЮС (нотариат, суд, ОПИ, списание) и автообзвон Asterisk","M3-08-01 [3.8 Автообзвон: доменная логика] Партии автообзвона: отбор, расписание, частота [ТЗ 4.2.3.2]","Отбор ЛС с номером +375 по группам (по умолчанию до ~3 мес., настраиваемо), признак «звонить ЮЛ»; расписание: дата старта (ориентир — 27-е число), окно «с/по» (будни 18:00–21:00, выходные 10:00–22:00), дни недели; частота по группам из параметров сценария.

Пункт ТЗ: 4.2.3.2
Требования ТЗ: FR-EVT-01, EVT-T-01
Пакет работ: 3.8 Автообзвон: доменная логика
Фаза: Фаза 3. Мероприятия — пункт чек-листа «Партии автообзвона»
Макеты/артефакты:
- Протоколы встреч/ПРОТОКОЛ СОВЕЩАНИЯ № 2  г.pdf
- Протоколы встреч/ПРОТОКОЛ СОВЕЩАНИЯ № 4 от 23.06.pdf
- Протоколы встреч/ПРОТОКОЛ СОВЕЩАНИЯ на базе РСЦ Минска 17 06 26.pdf
- UI макеты/03_Реестр мероприятий.png","Международные номера исключаются
Окно и дни недели соблюдаются планировщиком
EVT-T-01 пройден"
"MVP-3. Воронка взыскания ЮС (нотариат, суд, ОПИ, списание) и автообзвон Asterisk","M3-08-02 [3.8 Автообзвон: доменная логика] Правила выбора номера и ротация исходящих номеров [ТЗ 4.2.3.2, 4.2.5.6]","Будни — приоритет городскому, заданные дни месяца и выходные — мобильному (настраиваемо); учёт режима источника контактов (ПМ/АИС/комбинированный); пул исходящих номеров на организацию/кампанию.

Пункт ТЗ: 4.2.3.2, 4.2.5.6
Пакет работ: 3.8 Автообзвон: доменная логика
Фаза: Фаза 3. Мероприятия — пункт чек-листа «Выбор и ротация номеров»
Макеты/артефакты:
- Протоколы встреч/ПРОТОКОЛ СОВЕЩАНИЯ № 2  г.pdf
- UI макеты/16_Настройка правил рейтинга и групп.png","Выбор номера меняется по дню недели/месяца согласно настройке
Ротация исходящих номеров применяется в партии
Режим источника контактов учитывается"
"MVP-3. Воронка взыскания ЮС (нотариат, суд, ОПИ, списание) и автообзвон Asterisk","M3-08-03 [3.8 Автообзвон: доменная логика] Голосовые шаблоны, ручной звонок и снятие номера с обзвона [ТЗ 4.2.3.2]","Записанный ролик (обязательно) и TTS (если доступно в телефонии); ручной звонок с фиксацией тех же полей; оперативное исключение номера из партии (должник перезвонил, неверный номер); после N неудачных попыток — задание «позвонить вручную».

Пункт ТЗ: 4.2.3.2
Требования ТЗ: UC-TSK-01
Пакет работ: 3.8 Автообзвон: доменная логика
Фаза: Фаза 3. Мероприятия — пункт чек-листа «Голос и ручной звонок»
Макеты/артефакты:
- Совещания/20 июля замечания.pdf
- Совещания/замечания 17 июля кратко.docx
- UI макеты/03_Реестр мероприятий.png","UC-TSK-01: 3 недозвона → задание «позвонить вручную»
Номер можно исключить из активной партии
Ручной звонок отображается в истории как автоматический"
"MVP-3. Воронка взыскания ЮС (нотариат, суд, ОПИ, списание) и автообзвон Asterisk","M3-09-01 [3.9 Интеграция с телефонией Asterisk (AMI)] Адаптер AMI: инициирование звонков и приём статусов [ТЗ 4.2.10.6]","Originate через AMI с передачей номера и аудио/текста для TTS; приём событий: дозвон/недозвон/занято/неверный номер, длительность, доля прослушивания (≥70% при возможности); повтор в рамках сессии; настройки (хост, порт, учётные данные, число линий, таймауты) во вкладке интеграций.

Пункт ТЗ: 4.2.10.6
Требования ТЗ: FR-EVT-02, FR-INT-03, UC-EVT-01, INT-T-03, EVT-T-02
Пакет работ: 3.9 Интеграция с телефонией Asterisk (AMI)
Фаза: Фаза 8. Интеграции — пункт чек-листа «Адаптер Asterisk AMI»
Макеты/артефакты:
- Протоколы встреч/ПРОТОКОЛ СОВЕЩАНИЯ № 4 от 23.06.pdf
- Совещания/20 июля замечания.pdf","Партия уходит в тестовый Asterisk, статусы возвращаются в частные мероприятия
Журнал интеграции фиксирует запросы и ошибки
INT-T-03 и EVT-T-02 пройдены"
"MVP-3. Воронка взыскания ЮС (нотариат, суд, ОПИ, списание) и автообзвон Asterisk","M3-09-02 [3.9 Интеграция с телефонией Asterisk (AMI)] История звонков в карточке и запись разговора по запросу [ТЗ 4.2.3.2]","В карточке ЛС: дата, время, длительность, статус каждого звонка; запись — подгрузка по требованию без постоянного хранения; опция перевода на оператора — если поддерживает Asterisk.

Пункт ТЗ: 4.2.3.2
Пакет работ: 3.9 Интеграция с телефонией Asterisk (AMI)
Фаза: Фаза 8. Интеграции — пункт чек-листа «История звонков»
Макеты/артефакты:
- UI макеты/02_Карточка задолженности по ЛС.png","История звонков видна в карточке ЛС
Запись разговора подгружается по кнопке (при наличии)
Отсутствие записи не ломает карточку"
"MVP-3. Воронка взыскания ЮС (нотариат, суд, ОПИ, списание) и автообзвон Asterisk","M3-09-03 [3.9 Интеграция с телефонией Asterisk (AMI)] Склейка обзвона с воронкой и сценариями [ТЗ 4.2.3.2, 4.2.4.6]","Этап «Автообзвон» двигается по факту партии/успешного статуса; сценарий «группа 1–2 → обзвон → нет оплаты → предупреждение»; массовый запуск обзвона из реестра.

Пункт ТЗ: 4.2.3.2, 4.2.4.6
Требования ТЗ: UC-DEBT-01
Пакет работ: 3.9 Интеграция с телефонией Asterisk (AMI)
Фаза: Фаза 8. Интеграции — пункт чек-листа «Обзвон в сценариях»
Макеты/артефакты:
- UI макеты/01_Канбан-доска по группе (Группа 2).png
- Основные документы/План реализации проекта ЕРИП.docx","Сценарий из примера отрабатывает end-to-end на стенде
UC-DEBT-01 (автообзвон вне сценария) пройден
Оплата останавливает обзвон по ЛС"
"MVP-3. Воронка взыскания ЮС (нотариат, суд, ОПИ, списание) и автообзвон Asterisk","M3-10-01 [3.10 Информационная безопасность ПИР] Ограничение доступа к пакетам ПИР и протоколирование действий по делу [ТЗ 4.2.4.10]","Доступ к пакетам документов с персональными данными только ролям ЮС; полное протоколирование действий по делу (создание пакета, направление, результат, списание).

Пункт ТЗ: 4.2.4.10
Пакет работ: 3.10 Информационная безопасность ПИР
Фаза: Фаза 4. Взыскание — пункт чек-листа «Доступ к пакетам ПИР»
Макеты/артефакты:
- Основные документы/TZ_ERIP_v1_2_Сводный.docx","Специалист без роли ЮС не открывает пакет ИН/иска
Доступ к пакету через API проверяется по роли так же, как в интерфейсе
Все действия по делу есть в аудите"
"MVP-4. Отчёты и сводные показатели, внешние интеграции, ИБ и НФТ, документация и приёмка","M4-01-01 [4.1 Отчётный слой и общие механизмы отчётов] Витрины данных и ночные агрегаты для отчётности [ТЗ 4.2.7.1, 4.4.6]","Отдельные витрины/реплика для тяжёлых отчётов, ночной пересчёт агрегатов после синхронизации с АИС, снимки состояния (для динамики и перманентности): остатки, группы, этапы, мероприятия на дату.

Пункт ТЗ: 4.2.7.1, 4.4.6
Пакет работ: 4.1 Отчётный слой и общие механизмы отчётов
Фаза: Фаза 7. Отчёты — пункт чек-листа «Витрины данных»
Макеты/артефакты:
- Основные документы/План реализации проекта ЕРИП.docx
- Основные документы/TZ_ERIP_v1_2_Сводный.docx","Тяжёлый отчёт не влияет на время отклика реестров (проверено нагрузкой)
Снимки на дату хранятся не менее срока «горячей» базы
Агрегаты пересчитываются после каждой ночной загрузки"
"MVP-4. Отчёты и сводные показатели, внешние интеграции, ИБ и НФТ, документация и приёмка","M4-01-02 [4.1 Отчётный слой и общие механизмы отчётов] Каркас модуля «Аналитика»: изоляция, фильтр, экспорт, избранное [ТЗ 4.2.7.1, 4.2.7.6]","Отдельный модуль аналитики (замечания 20 июля); универсальный фильтр; локальные пользователи — своя организация, Заказчик — свод или выбранная организация; экспорт PDF/XLSX/DOCX; сохранение отчёта в избранное (личное/общее).

Пункт ТЗ: 4.2.7.1, 4.2.7.6
Пакет работ: 4.1 Отчётный слой и общие механизмы отчётов
Фаза: Фаза 7. Отчёты — пункт чек-листа «Модуль «Аналитика»»
Макеты/артефакты:
- UI макеты/05_Универсальный фильтр реестров.png
- Совещания/20 июля замечания.pdf","Пользователь организации не может построить отчёт по чужим данным
Экспорт в PDF, XLSX, DOCX работает для любого отчёта
Избранный отчёт открывается с сохранёнными параметрами"
"MVP-4. Отчёты и сводные показатели, внешние интеграции, ИБ и НФТ, документация и приёмка","M4-02-01 [4.2 Отчёты о состоянии и динамике задолженности] Сводный отчёт по задолженности на дату/период [ТЗ 4.2.7.2]","Суммы долга и пени в разрезе начисляющих/обслуживающих организаций, поставщиков, ЛС, групп 1–6, категорий должников и услуг; предустановленные формы по эталонам АИС.

Пункт ТЗ: 4.2.7.2
Требования ТЗ: FR-RPT-01, RPT-T-01
Пакет работ: 4.2 Отчёты о состоянии и динамике задолженности
Фаза: Фаза 7. Отчёты — пункт чек-листа «Сводный отчёт»
Макеты/артефакты:
- Примеры форм отчетов из АИС _Расчет ЖКУ_/Ведомость текущей задолженности r99055.pdf
- Примеры форм отчетов из АИС _Расчет ЖКУ_/Текущая задолженность на дату r99081.pdf
- Примеры форм отчетов из АИС _Расчет ЖКУ_/Информация о просроченной задолженности по категориям лицевого счета r99195.pdf
- Примеры форм отчетов из АИС _Расчет ЖКУ_/Ведомственная отчетность по задолженности с взаимозачетом r99235.pdf","Итоги сходятся с данными реестра на контрольном наборе
Разрезы переключаются без перезапроса страницы
RPT-T-01 пройден"
"MVP-4. Отчёты и сводные показатели, внешние интеграции, ИБ и НФТ, документация и приёмка","M4-02-02 [4.2 Отчёты о состоянии и динамике задолженности] Динамика задолженности и структура портфеля по группам [ТЗ 4.2.7.2]","Рост/снижение за период по организации/группе/услуге с графиками (линейный, столбчатый, круговой с переключением типа); доля групп 1–6 в общей сумме.

Пункт ТЗ: 4.2.7.2
Пакет работ: 4.2 Отчёты о состоянии и динамике задолженности
Фаза: Фаза 7. Отчёты — пункт чек-листа «Динамика задолженности»
Макеты/артефакты:
- UI макеты/10_Диаграмма столбчатая — задолженность по этапам.png
- UI макеты/11_Диаграмма круговая — распределение по группам.png
- UI макеты/12_График — динамика задолженности.png","Графики соответствуют макетам 10–12
Тип диаграммы переключается в интерфейсе
Доли групп в сумме дают 100%"
"MVP-4. Отчёты и сводные показатели, внешние интеграции, ИБ и НФТ, документация и приёмка","M4-02-03 [4.2 Отчёты о состоянии и динамике задолженности] Ведомственная форма № 13 и отчёт «Меры, принятые по снижению задолженности» [ТЗ 4.2.7.2, 4.2.7.3]","Предустановленные формы: ведомственная отчётность (постановление МинЖКХ № 13 от 28.11.2022) с градацией до 3 мес./3–6/6–12/1–3 года/свыше 3 лет; «Меры, принятые…» с детализацией по кол-ву месяцев, ОО, закреплённому специалисту, ЛС.

Пункт ТЗ: 4.2.7.2, 4.2.7.3
Пакет работ: 4.2 Отчёты о состоянии и динамике задолженности
Фаза: Фаза 7. Отчёты — пункт чек-листа «Форма № 13 и меры»
Макеты/артефакты:
- Примеры форм отчетов из АИС _Расчет ЖКУ_/Ведомственная отчетность по задолженности с взаимозачетом r99235.pdf
- Примеры форм отчетов из АИС _Расчет ЖКУ_/Меры, принятые по снижению задолженности населения за ЖКУ r99240 (детализация - по кол-ву месяцев долга).xlsx
- Примеры форм отчетов из АИС _Расчет ЖКУ_/Меры, принятые по снижению задолженности населения за ЖКУ r99240 (детализация - по обслуживающей организации).xlsx
- Примеры форм отчетов из АИС _Расчет ЖКУ_/Меры, принятые по снижению задолженности населения за ЖКУ r99240 (детализация - поо закрепленному специалисту).xlsx
- Примеры форм отчетов из АИС _Расчет ЖКУ_/Меры, принятые по снижению задолженности населения за ЖКУ r99240 (детализация -по ЛС).xlsx","Формы воспроизводят структуру эталонов
Детализации r99240 доступны переключением
Состав базовых форм согласован с Заказчиком"
"MVP-4. Отчёты и сводные показатели, внешние интеграции, ИБ и НФТ, документация и приёмка","M4-03-01 [4.3 Отчёты об эффективности мероприятий и работе пользователей] Эффективность мероприятий [ТЗ 4.2.7.3]","Количество и результативность: автообзвон (доля дозвонов), e-mail, предупреждения (доля вручённых), отключения (доля погашений после отключения) за период.

Пункт ТЗ: 4.2.7.3
Требования ТЗ: UC-RPT-02
Пакет работ: 4.3 Отчёты об эффективности мероприятий и работе пользователей
Фаза: Фаза 7. Отчёты — пункт чек-листа «Эффективность мероприятий»
Макеты/артефакты:
- UI макеты/10_Диаграмма столбчатая — задолженность по этапам.png
- Протоколы встреч/ПРОТОКОЛ ВСТРЕЧИ 1.pdf","UC-RPT-02: ежемесячный отчёт по обзвону и рассылкам формируется
Показатели сверены с реестром мероприятий
Экспорт работает"
"MVP-4. Отчёты и сводные показатели, внешние интеграции, ИБ и НФТ, документация и приёмка","M4-03-02 [4.3 Отчёты об эффективности мероприятий и работе пользователей] Нагрузка специалистов и сроки прохождения этапов воронки [ТЗ 4.2.7.3]","По закреплённому специалисту: обработанные ЛС, выполненные задания, звонки, предупреждения, взысканная сумма; среднее время между этапами (предупреждение → отключение, нотариус → надпись и т.д.).

Пункт ТЗ: 4.2.7.3
Пакет работ: 4.3 Отчёты об эффективности мероприятий и работе пользователей
Фаза: Фаза 7. Отчёты — пункт чек-листа «Нагрузка специалистов»
Макеты/артефакты:
- Примеры форм отчетов из АИС _Расчет ЖКУ_/Меры, принятые по снижению задолженности населения за ЖКУ r99240 (детализация - по кол-ву месяцев долга).xlsx
- Примеры форм отчетов из АИС _Расчет ЖКУ_/Меры, принятые по снижению задолженности населения за ЖКУ r99240 (детализация - по обслуживающей организации).xlsx
- Примеры форм отчетов из АИС _Расчет ЖКУ_/Меры, принятые по снижению задолженности населения за ЖКУ r99240 (детализация - поо закрепленному специалисту).xlsx
- Примеры форм отчетов из АИС _Расчет ЖКУ_/Меры, принятые по снижению задолженности населения за ЖКУ r99240 (детализация -по ЛС).xlsx
- Протоколы встреч/ПРОТОКОЛ ВСТРЕЧИ 1.pdf","Отчёт по каждому пользователю совпадает с журналами действий
Время этапов рассчитывается по истории переходов
Узкие места выделяются визуально"
"MVP-4. Отчёты и сводные показатели, внешние интеграции, ИБ и НФТ, документация и приёмка","M4-04-01 [4.4 Анализ перманентности задолженности] Новые и повторные должники по уникальным идентификаторам [ТЗ 4.2.7.4]","Количество должников периода по уникальным ИН/ЛС: новые относительно предыдущего периода, повторные, выбывшие (погасившие) — пример протокола №2 (100 → 100, из них 60 новых).

Пункт ТЗ: 4.2.7.4
Пакет работ: 4.4 Анализ перманентности задолженности
Фаза: Фаза 7. Отчёты — пункт чек-листа «Новые и повторные»
Макеты/артефакты:
- Протоколы встреч/ПРОТОКОЛ СОВЕЩАНИЯ № 2  г.pdf
- Протоколы встреч/ПРОТОКОЛ СОВЕЩАНИЯ на базе РСЦ Минска 17 06 26.pdf","Пример из протокола №2 воспроизводится на тестовых данных
Разрез по ЛС и по должнику
RPT-T-02 (в части новых/повторных) пройден"
"MVP-4. Отчёты и сводные показатели, внешние интеграции, ИБ и НФТ, документация и приёмка","M4-04-02 [4.4 Анализ перманентности задолженности] Циклы «накопление — погашение — повторное накопление» и целевой список [ТЗ 4.2.7.4]","История эпизодов по каждому ЛС/должнику (сохраняется и после полного погашения, в т.ч. из архива); индикатор числа полных циклов за настраиваемый период (12–24 мес.); целевой список «перманентных» для ЮС.

Пункт ТЗ: 4.2.7.4
Требования ТЗ: FR-RPT-02, UC-RPT-01, RPT-T-02
Пакет работ: 4.4 Анализ перманентности задолженности
Фаза: Фаза 7. Отчёты — пункт чек-листа «Циклы задолженности»
Макеты/артефакты:
- Протоколы встреч/ПРОТОКОЛ СОВЕЩАНИЯ № 2  г.pdf","UC-RPT-01: список должников с ≥3 циклами за 18 мес.
Эпизоды не теряются при реактивации из архива
RPT-T-02 пройден"
"MVP-4. Отчёты и сводные показатели, внешние интеграции, ИБ и НФТ, документация и приёмка","M4-05-01 [4.5 Отчёты по этапам взыскания, тарифам, отключениям и списанию] Срез воронки и эффективность отключений [ТЗ 4.2.7.5]","Количество дел на каждом этапе на дату (табличный срез канбана); отключения: количество, доля погашений в течение X дней, количество отменённых заданий, в разрезе поставщиков.

Пункт ТЗ: 4.2.7.5
Пакет работ: 4.5 Отчёты по этапам взыскания, тарифам, отключениям и списанию
Фаза: Фаза 7. Отчёты — пункт чек-листа «Срез воронки»
Макеты/артефакты:
- UI макеты/10_Диаграмма столбчатая — задолженность по этапам.png
- UI макеты/07_Канбан-доска — все группы, все статусы.png","Срез на дату совпадает с канбаном на ту же дату
Параметр X настраивается
Разрез по поставщикам доступен"
"MVP-4. Отчёты и сводные показатели, внешние интеграции, ИБ и НФТ, документация и приёмка","M4-05-02 [4.5 Отчёты по этапам взыскания, тарифам, отключениям и списанию] Нотариальные тарифы и списанная задолженность [ТЗ 4.2.7.5]","Тарифы: начислено/взыскано/остаток по организациям и нотариусам (исполнительский сбор не учитывается); объём подготовленного списания по причинам и организациям; невозможные к взысканию долги с основаниями.

Пункт ТЗ: 4.2.7.5
Пакет работ: 4.5 Отчёты по этапам взыскания, тарифам, отключениям и списанию
Фаза: Фаза 7. Отчёты — пункт чек-листа «Тарифы и списание»
Макеты/артефакты:
- Протоколы встреч/ПРОТОКОЛ СОВЕЩАНИЯ № 2  г.pdf
- Протоколы встреч/ПРОТОКОЛ СОВЕЩАНИЯ на базе РСЦ Минска 17 06 26.pdf","Остаток тарифов сходится с карточками ИН
Причины списания группируются
Экспорт работает"
"MVP-4. Отчёты и сводные показатели, внешние интеграции, ИБ и НФТ, документация и приёмка","M4-06-01 [4.6 Конструктор отчётов] Конструктор произвольных отчётов [ТЗ 4.2.7.6]","Выбор полей, группировок, фильтров, периода, вида (таблица, график, сводная диаграмма); сохранение как личного/общего шаблона; экспорт Excel/PDF. Возможна интеграция Metabase/Superset/DataLens.

Пункт ТЗ: 4.2.7.6
Требования ТЗ: FR-RPT-03, RPT-T-03
Пакет работ: 4.6 Конструктор отчётов
Фаза: Фаза 7. Отчёты — пункт чек-листа «Конструктор отчётов»
Макеты/артефакты:
- UI макеты/05_Универсальный фильтр реестров.png
- UI макеты/10_Диаграмма столбчатая — задолженность по этапам.png
- UI макеты/11_Диаграмма круговая — распределение по группам.png","Пользователь без разработчика строит отчёт из 3+ полей с группировкой
Общий шаблон виден коллегам организации
RPT-T-03 пройден"
"MVP-4. Отчёты и сводные показатели, внешние интеграции, ИБ и НФТ, документация и приёмка","M4-07-01 [4.7 Модуль «Сводные показатели» (дашборды и карта)] Дашборды сводных показателей [ТЗ 4.2.11]","Сквозные показатели (динамика взыскания, структура долга, тепловые карты по регионам/филиалам), интерактивные графики; состав панелей настраивает суперадминистратор; доступ — по Приложению 1 (наблюдатели, органы госуправления — только просмотр).

Пункт ТЗ: 4.2.11
Пакет работ: 4.7 Модуль «Сводные показатели» (дашборды и карта)
Фаза: Фаза 7. Отчёты — пункт чек-листа «Дашборды»
Макеты/артефакты:
- UI макеты/10_Диаграмма столбчатая — задолженность по этапам.png
- UI макеты/11_Диаграмма круговая — распределение по группам.png
- UI макеты/12_График — динамика задолженности.png","Дашборд строится по данным всех модулей в рамках прав
Суперадмин меняет состав панелей без кода
Наблюдатель не может изменить данные"
"MVP-4. Отчёты и сводные показатели, внешние интеграции, ИБ и НФТ, документация и приёмка","M4-07-02 [4.7 Модуль «Сводные показатели» (дашборды и карта)] Карта территориальной аналитики [ТЗ 4.2.11, 3]","Интерактивная карта от республики до дома по доступным схемам; источник геоданных/геокодирования адресов согласуется; представление отключается настройкой при нецелесообразности.

Пункт ТЗ: 4.2.11, 3
Пакет работ: 4.7 Модуль «Сводные показатели» (дашборды и карта)
Фаза: Фаза 7. Отчёты — пункт чек-листа «Карта аналитики»
Макеты/артефакты:
- Основные документы/TZ_ERIP_v1_2_Сводный.docx","Масштабирование республика → область → район → дом
Карта учитывает контур доступа пользователя
Выключение представления настройкой"
"MVP-4. Отчёты и сводные показатели, внешние интеграции, ИБ и НФТ, документация и приёмка","M4-07-03 [4.7 Модуль «Сводные показатели» (дашборды и карта)] Экспорт дашбордов и сводных таблиц (PDF, XLSX, CSV) [ТЗ 4.2.11]","Выгрузка графических панелей и таблиц для внешнего использования.

Пункт ТЗ: 4.2.11
Пакет работ: 4.7 Модуль «Сводные показатели» (дашборды и карта)
Фаза: Фаза 7. Отчёты — пункт чек-листа «Экспорт дашбордов»
Макеты/артефакты:
- Основные документы/TZ_ERIP_v1_2_Сводный.docx","Экспорт в три формата работает
Экспорт учитывает фильтры панели
Файлы открываются без ошибок"
"MVP-4. Отчёты и сводные показатели, внешние интеграции, ИБ и НФТ, документация и приёмка","M4-08-01 [4.8 Интеграция с РУП «Белпочта»] Отправка заказных писем и отслеживание статусов по трек-номеру [ТЗ 4.2.10.8, 4.2.10.9]","Подключение по готовности API Белпочты и после согласования с Заказчиком стоимости и порядка оплаты отправлений (не за счёт Исполнителя). При канале «заказное»: создание/регистрация отправления, сохранение идентификатора, периодический опрос статусов (принято/в пути/вручено/возврат); «вручено» → дата вручения в предупреждении; «возврат» → статус и задание специалисту. Настройки во вкладке интеграций.

Пункт ТЗ: 4.2.10.8, 4.2.10.9
Требования ТЗ: FR-INT-06, INT-T-06
Пакет работ: 4.8 Интеграция с РУП «Белпочта»
Фаза: Фаза 8. Интеграции — пункт чек-листа «Белпочта»
Макеты/артефакты:
- Основные документы/TZ_ERIP_v1_2_Сводный.docx
- Протоколы встреч/ПРОТОКОЛ ВСТРЕЧИ 1.pdf
- Совещания/20 июля замечания.pdf","До подключения работает ручной режим отметок
Статус отправления обновляется автоматически
Дата вручения проставляется без ручного ввода
INT-T-06 пройден"
"MVP-4. Отчёты и сводные показатели, внешние интеграции, ИБ и НФТ, документация и приёмка","M4-09-01 [4.9 Интеграция с Белорусской нотариальной палатой] Отправка пакета ИН и получение результата из ЛК БНП [ТЗ 4.2.10.2, 4.2.10.5]","Способ взаимодействия согласуется с Заказчиком: при отсутствии промышленного API — фоновый робот (RPA) в ЛК БНП по учётным данным Заказчика (~30 РСЦ = 30 кабинетов), резервный ручной порядок. Выгрузка пакета (.pdf.sgn/.p7s ≤15 МБ, подписанного ЭЦП) в ЛК БНП; фоновая загрузка результатов (надпись/отказ) в карточку с уведомлением в панели; настройки таймаутов/повторов во вкладке интеграций; при сбое — откат на ручной режим.

Пункт ТЗ: 4.2.10.2, 4.2.10.5
Требования ТЗ: FR-CLM-03, FR-INT-07, INT-T-07, CLM-T-03
Пакет работ: 4.9 Интеграция с Белорусской нотариальной палатой
Фаза: Фаза 8. Интеграции — пункт чек-листа «Нотариальная палата»
Макеты/артефакты:
- UI макеты/14_Добавление исполнительной надписи.png
- Other/Белорусская нотариальная палата - Совершение исполнительных надписей в виде электронного документа и предъявление их в органы пр.doc
- Совещания/замечания 17 июля кратко.docx
- Совещания/20 июля замечания.pdf
- Протоколы встреч/ПРОТОКОЛ ВСТРЕЧИ 1.pdf","Способ взаимодействия и резервный порядок зафиксированы письменно с Заказчиком
Статус «Направлено нотариусу» ставится автоматически с номером обращения
Документ результата появляется в карточке с уведомлением
INT-T-07 и CLM-T-03 пройдены"
"MVP-4. Отчёты и сводные показатели, внешние интеграции, ИБ и НФТ, документация и приёмка","M4-10-01 [4.10 Интеграция с АИС ПРИС / ОАИС (сервисы 3.11.01–3.11.05)] Передача данных о задолженности в ПРИС (3.11.02, 3.11.03) [ТЗ 4.2.10.4, 4.2.10.9]","По получении через Заказчика документации по ЭУ 3.11.01–3.11.05, соглашения и доступа к тестовому контуру НЦЭУ: помещение данных о задолженности и их обновлений в систему ОПИ по исполнительному документу.

Пункт ТЗ: 4.2.10.4, 4.2.10.9
Требования ТЗ: FR-INT-04, INT-T-04
Пакет работ: 4.10 Интеграция с АИС ПРИС / ОАИС (сервисы 3.11.01–3.11.05)
Фаза: Фаза 8. Интеграции — пункт чек-листа «ПРИС: передача долга»
Макеты/артефакты:
- Other/ИС ПРИС.pdf
- Протоколы встреч/ПРОТОКОЛ ВСТРЕЧИ 1.pdf
- Нормативка (законы)/Постановление СМ РБ, НБ РБ от 28.062019 №432-11 Об АИС ИДО.RTF","До подключения работает ручной контур ОПИ
Подтверждение приёма или протокол ошибки сохраняется
Повторная передача обновлений работает
INT-T-04 пройден"
"MVP-4. Отчёты и сводные показатели, внешние интеграции, ИБ и НФТ, документация и приёмка","M4-10-02 [4.10 Интеграция с АИС ПРИС / ОАИС (сервисы 3.11.01–3.11.05)] Получение сведений о ходе исполнительного производства (3.11.01, 3.11.04, 3.11.05) [ТЗ 4.2.10.4]","Запросы по номеру производства и регламентные обновления: статусы, меры, акты; отражение в карточке и воронке.

Пункт ТЗ: 4.2.10.4
Требования ТЗ: FR-INT-05, INT-T-05
Пакет работ: 4.10 Интеграция с АИС ПРИС / ОАИС (сервисы 3.11.01–3.11.05)
Фаза: Фаза 8. Интеграции — пункт чек-листа «ПРИС: статусы ОПИ»
Макеты/артефакты:
- Other/ИС ПРИС.pdf","Статусы ОПИ обновляются без ручного ввода
Акт о невозможности взыскания подгружается автоматически
INT-T-05 пройден"
"MVP-4. Отчёты и сводные показатели, внешние интеграции, ИБ и НФТ, документация и приёмка","M4-11-01 [4.11 Модуль «Интеграции»: технические настройки и мониторинг] Вкладки настроек интеграций и журнал обмена [ТЗ 4.2.10.1]","Отдельный модуль с вкладкой на каждую интеграцию (АИС, SMTP, Asterisk, Белпочта, БНП, ПРИС): endpoint, порт, учётные данные, таймауты, ретраи, расписание; журнал обменов и ошибок; статус готовности (действующая/перспективная).

Пункт ТЗ: 4.2.10.1
Пакет работ: 4.11 Модуль «Интеграции»: технические настройки и мониторинг
Фаза: Фаза 8. Интеграции — пункт чек-листа «Настройки интеграций»
Макеты/артефакты:
- Совещания/20 июля замечания.pdf","Параметры любой интеграции меняются без кода
Журнал показывает последние обмены и ошибки
Сводная приёмка интеграций INT-T подготовлена"
"MVP-4. Отчёты и сводные показатели, внешние интеграции, ИБ и НФТ, документация и приёмка","M4-12-01 [4.12 Информационная безопасность] Передача событий ИБ в SIEM по syslog (ОС, СУБД, прикладное ПО) [ТЗ 4.4.4]","Генерация и отправка событий по перечням ТЗ с обязательными полями (дата-время, учётная запись, IP хоста/источника, сервис, время начала/окончания операции, описание).

Пункт ТЗ: 4.4.4
Пакет работ: 4.12 Информационная безопасность
Фаза: Фаза 9. ИБ и НФТ — пункт чек-листа «События ИБ в SIEM»
Макеты/артефакты:
- Основные документы/TZ_ERIP_v1_2_Сводный.docx","Все три перечня событий покрыты
Поля событий соответствуют ТЗ
Тестовая передача в SIEM Заказчика подтверждена"
"MVP-4. Отчёты и сводные показатели, внешние интеграции, ИБ и НФТ, документация и приёмка","M4-12-02 [4.12 Информационная безопасность] Защищённые каналы и ЭЦП для критичных данных [ТЗ 4.4.4]","Передача данных между участниками системы по защищённым каналам с сертифицированными СКЗИ (выбор согласуется с ИБ Заказчика); ЭЦП для юридически значимых документов (пакеты ИН, согласования списания) при технической реализуемости.

Пункт ТЗ: 4.4.4
Пакет работ: 4.12 Информационная безопасность
Фаза: Фаза 9. ИБ и НФТ — пункт чек-листа «СКЗИ и ЭЦП»
Макеты/артефакты:
- Основные документы/TZ_ERIP_v1_2_Сводный.docx","Все каналы шифруются
Выбор СКЗИ согласован с ИБ Заказчика
Подпись ЭЦП проверяется при загрузке пакета"
"MVP-4. Отчёты и сводные показатели, внешние интеграции, ИБ и НФТ, документация и приёмка","M4-12-03 [4.12 Информационная безопасность] Испытания защиты информации [ТЗ 4.4.4, 6]","Проверка RBAC по принципу «что не разрешено — запрещено», изоляции контуров, блокировок, аудита, защищённых каналов и передачи событий в SIEM.

Пункт ТЗ: 4.4.4, 6
Пакет работ: 4.12 Информационная безопасность
Фаза: Фаза 9. ИБ и НФТ — пункт чек-листа «Испытания ИБ»
Макеты/артефакты:
- Основные документы/TZ_ERIP_v1_2_Сводный.docx","Протокол испытаний ИБ без критичных замечаний
Найденные уязвимости устранены или приняты Заказчиком
Изоляция контуров подтверждена на всех ролях"
